"County","Title","Category","GPS","Near","Directions","Text"
"Atoka","Confederate Cemetery","cemetery","34.39924, -96.11662","Atoka, OK","258 North Highway 69, Atoka, Oklahoma","Confederates maintained camps nearby along the Middle Boggy River in the Choctaw Nation of Indian Territory. Some died of disease and were buried on the grounds where the museum now exists. It is the only designated Confederate Cemetery in the state of Oklahoma."
"Beaver","Capitol View","cemetery","36.645042,-100.568822","Beaver, OK","E0250 &amp; N1365 Rd in Beaver County ","Small rural cemetery "
"Beaver","Gray Cemetery","cemetery","36.565547,-100.828798","Balko, OK","US Hwy 83 about 3 1/2 miles of the intersection at US 412 and US 83","Small rural cemetery"
"Beaver","Pleasant Hill Cemetery","cemetery","36.630562,-100.684099","Balko, OK","Balko Rd & E0260 Rd","Cemetery located in the town of Balko, OK."
"Beckham","Buffalo","cemetery","35.389143, -99.841887","Sayre","N/A","N/A"
"Beckham","Calvary","cemetery","35.427572, -99.408075","Elk City","N/A","N/A"
"Beckham","Carter","cemetery","35.23203,-99.518366","Carter, OK","One mile north of Carter and about 3/4 mile west on County Rd. E1230","Carter community cemetery."
"Beckham","Davis","cemetery","35.245945, -99.881823","Erick","N/A","N/A"
"Beckham","East Fairlawn","cemetery","35.428315, -99.407914","Elk City","N/A","N/A"
"Beckham","Erick","cemetery","35.187406, -99.854053","Erick","N/A","N/A"
"Beckham","Fairlawn","cemetery","35.430072, -99.409878","Elk City, OK","1607 N. Washington Ave.","North side of Elk City"
"Beckham","Merritt","cemetery","35.378092, -99.496084","Elk City","N/A","N/A"
"Beckham","Salem","cemetery","35.378261, -99.903105","Sweetwater","N/A","N/A"
"Beckham","Sayre","cemetery","35.29097, -99.613071","Sayre","N/A","N/A"
"Beckham","Sayre Dewey","cemetery","35.313117, -99.595102","Sayre","N/A","N/A"
"Blaine","Bridgeford","cemetery","35.883602,-98.385193","Watonga, OK","Just east of the prison in north of Watonga.","Watonga area cemetery."
"Blaine","Burial Site of Jesse Chisholm and Left Hand","cemetery","35.72624N, 98.29077W","Watonga, OK","from Watonga, 4 miles east, 7 miles south, 4 miles east, 1 mile south, 1/2 mile west","Jesse Chisholm Born in Tennessee in 1805 of Scottish and Cherokee descent, Jesse Chisholm came to Indian Territory in the 1820's for 40 years he operated trading posts near Asher, Purcell Watonga and Okla. City. Also a guide, freighter, interpreter, salt works owner and peacemaker. Few men in the territories were so well known by the Indian. Due to this part of his freighting route became know as the Chisholm trail. He died on March 4, 1868 after eating bear meat cooked in a copper kettle and was buried near Left Hand Spring Allotment of his old friend Chief Left Hand NE of present Geary the inscription on his grave. No one left his home cold or hungry, is a tribute to the character of this rugged individual. Oklahoma Historical Society 1976 *"
"Blaine","Canton","cemetery","36.029893, -98.581401","Canton","N/A","N/A"
"Blaine","Canton Indian Mennonite","cemetery","36.10083, -98.61969","Canton, OK (Canton Lake)","from Canton's main intersection, 1 3/4 miles west and 3 miles north, then to the left you will see the cemetery on the NE corner of Section 30. ","This is one of the oldest cemeteries in the county, probably the oldest on the original site. The missionaries came here to teach the Indians as early as 1876. This early date probably accounts for so many graves with no information and evidence of many more without markers.* Cantonment Township,   Section 30 - 19N - 13W"
"Blaine","Canton Reinterment","cemetery","36.07723, -98.60824","Canton, OK (Canton Lake)","from Canton Dam, 1/2 miles west","The Corps of engineers established this cemetery in 1947 by the removal of the Indian burial grounds for the inundation of Canton Lake. There were 19 cemeteries moved to the new location, each consisting of two to thirty graves. It was impossible to find all the graves for removal.* Cantonment Township,     Section 32 - 19N - 13W "
"Blaine","Cherryvale","cemetery","36.055789, -98.511627","Canton, OK","4 miles east of Canton on highway 51, 100 yards south","Carlton Township,   Section 8 - 18N - 12W"
"Blaine","Eagle City","cemetery","35.919973, -98.600312","Canton, OK","1 mile west and 8/10 mile south of Eagle City (south of Canton on Highway 58)","Liberty Township,     Section 28 - 17N - 13W"
"Blaine","Evergreen","cemetery","35.870666,-98.358543","Watonga, OK","NE of Watonga.","Watonga area cemetery."
"Blaine","Rising Sun","cemetery","35.855494, -98.592716","Canton, OK","1 mile north of the Canton 'Y' (Highway 270 and Highway 58), then 1/4 mile west","Arapaho Township,     Section 21 - 16N - 13W"
"Blaine","Watonga Independent Order of Odd Fellows","cemetery","35.847432,-98.383262","Watonga","N/A","Watonga area cemetery."
"Blaine","Watonga Indian","cemetery","35.854946,-98.427851","Watonga, OK","N/A","Watonga area cemetery."
"Blaine","Zion Mennonite Indian","cemetery","36.028439, -98.581203","Canton, OK","2 miles south of Canton, 1/4 mile east (across the road south of the Canton Cemetery)","Canton Township, Section 22 - 18N - 13W"
"Bryan","Nail's Cemetery","cemetery","34.1298, -96.3871","Kenefick, OK","2 mi. SW of Kenefick, Oklahoma. Marker can be reached from Nails Crossing Road, on the right when traveling west.","Nail Family Cemetery is on private property. 2 mi. SW of Kenefick, Oklahoma"
"Caddo","Albert","cemetery","35.204397,-98.403021","Ft. Cobb, OK","N/A","Albert community cemetery.  Small country cemetery."
"Caddo","Binger","cemetery","35.318971,-98.31471","Binger, OK","N/A","Binger community cemetery."
"Caddo","Bridgeport","cemetery","35.536909,-98.360372","Hinton, OK","Take Exit 101 on I-40 and go north to old US66, turn left and go about half a mile west.  Cemetery is on the north side of the road.","Cemetery for the Bridgeport community.  Many of the markers date back to the 1800's."
"Caddo","Eakly","cemetery","35.297967,-98.553534","Eakly, OK","On the south side of Eakly on Church street.","Eakly community cemetery."
"Caddo","Fort Cobb","cemetery","35.110787,-98.440465","Ft. Cobb, OK","On Hwy 9 on the north side of Ft. Cobb.","Fort Cobb community cemetery."
"Caddo","Gracemont","cemetery","35.197092,-98.266076","N/A","N/A","Gracemont community cemetery."
"Caddo","Hinton","cemetery","35.485472,-98.358217","Hinton, OK","N/A","Cemetery for the Hinton community."
"Caddo","Hydro Catholic","cemetery","35.572896,-98.579251","Hydro, OK","N/A","N/A"
"Caddo","Lookeba","cemetery","35.37093,-98.377765","Lookeba, OK","N/A","N/A"
"Caddo","Memory Lane","cemetery","35.052494,-98.254902","Anadarko, OK","N/A","Anadarko area cemetery."
"Caddo","Red Stone","cemetery","35.066054,-98.357384","Ft. Cobb, OK","N/A","Small country cemetery."
"Caddo","Roach","cemetery","35.052788,-98.177758","Anadarko, OK","N/A","Small cemetery in farmlands east of Anadarko."
"Caddo","Sickles","cemetery","35.362642,-98.4466","Lookeba, OK","N/A","Sickles area cemetery."
"Caddo","Ware","cemetery","35.044449,-98.3267","Anadarko, OK","About 4 miles west of Anadarko on Hwy 9.","Small country cemetery."
"Canadian","El Reno","cemetery","35.518942,-97.938935","El Reno, OK","N/A","N/A"
"Canadian","Fort Reno Post","cemetery","35.56347,-98.047856","El Reno, OK","N/A","The Fort Reno cemetery."
"Canadian","Yukon","cemetery","35.500686,-97.761371","Yukon, OK","N/A","N/A"
"Carter","Hillcrest","cemetery","34.1447,-97.134948","Ardmore, OK","South side of Ardmore, just west of the airport.","Ardmore community cemetery."
"Carter","Lone Grove","cemetery","34.18937,-97.261362","Lone Grove, OK","North of Lone Grove on E. Memorial Rd.","Lone Grove community cemetery"
"Carter","Provence","cemetery","34.154858,-97.021651","Ardmore, OK","East of Ardmore a few miles on 9th Ave SE / Springdale Rd.","Small rural cemetery."
"Cleveland","Emmanuel","cemetery","35.360134,-97.529351","Oklahoma City, OK","10600 S Western Ave","South Oklahoma City cemetery."
"Cleveland","Resthaven Gardens","cemetery","35.362339,-97.525442","Oklahoma City, OK","698 SW 104th St","South Oklahoma City cemetery."
"Custer","Arapaho","cemetery","35.565278, -98.952411","Arapaho, OK","SE of Arapaho.","Arapaho community cemetery."
"Custer","Beck","cemetery","35.725855,-98.844552","Thomas, OK","NW of Custer City on county road E0890 and N2330","Small rural cemetery"
"Custer","Bethany","cemetery","35.711465,-98.789363","Thomas, OK","SW of Thomas","Small rural cemetery"
"Custer","Bethel","cemetery","35.650691, -99.368711","Hammon","N/A","N/A"
"Custer","Bradley","cemetery","35.58104, -98.685297","Weatherford","N/A","N/A"
"Custer","Butler","cemetery","35.644556, -99.199101","Butler","N/A","N/A"
"Custer","Chapel Hill","cemetery","35.493562, -98.88514","Clinton","N/A","N/A"
"Custer","Clinton","cemetery","35.476916, -98.992601","Clinton","South side of Clinton on S 28th Street and Old Rt. 66","Clinton Community Cemetery"
"Custer","Greenwood","cemetery","35.535643, -98.719359","Weatherford","N/A","N/A"
"Custer","Gyp","cemetery","35.696903, -99.067394","Butler","N/A","N/A"
"Custer","Independence","cemetery","35.740567, -98.890151","Custer City","N/A","N/A"
"Custer","John Old Crow","cemetery","35.495107, -98.964753","Clinton, OK","South from I-40 and US183 1/2 mile to Meacham Rd.  Cemetery is on the NE corner of intersection.","Small cemetery not marked just north of the Veterans Center in Clinton."
"Custer","Masonic","cemetery","35.681149, -98.886291","Custer City","N/A","N/A"
"Custer","Mound Olive","cemetery","35.696201,-98.721428","Thomas, OK","South of Thomas on Hwy 54","Small rural cemetery"
"Custer","Mound Valley","cemetery","35.739046, -98.759176","Thomas","N/A","N/A"
"Custer","Mt. Hope","cemetery","35.608893,-98.863614","Custer City, OK","N/A","Small country cemetery SW of Custer City."
"Custer","Ocseola","cemetery","35.749989, -99.177856","Butler","N/A","N/A"
"Custer","Parkersburg","cemetery","35.478942, -99.029411","Clinton","N/A","N/A"
"Custer","Prairie View","cemetery","35.696316, -98.97249","Custer City","N/A","N/A"
"Custer","Red Rock","cemetery","35.538122, -98.878639","Clinton","N/A","N/A"
"Custer","Shiloh","cemetery","35.73873, -99.217145","Butler","N/A","N/A"
"Custer","St. John's","cemetery","35.71868, -98.685134","Thomas","N/A","N/A"
"Custer","Stafford","cemetery","35.538157, -99.111809","Stafford","N/A","N/A"
"Custer","Summit","cemetery","35.601855, -98.826444","Custer City","N/A","N/A"
"Custer","Valley View","cemetery","35.508392, -99.100267","Clinton","N/A","N/A"
"Dewey","Brumfield Cemetery","cemetery","36.159908N, 98.938545W","Seiling, OK","Verterans Road, just north of Seiling, OK on US 270.","Cemetery began with the burial of Maggie Brumfield, daughter of George and Mary Brumfield, on December 5, 1893.  In 1981 the Cemetery Association purchased appx 6.0 acres of Ralph Gilchrist land in SW 32-20-16, across the road east, to create Brumfield 2nd Addition. The first person buried was Frank Hedges in 1994. *"
"Dewey","Cedar Valley","cemetery","36.058304,-99.275336","Camargo, OK","N/A","Small cemetery north of Camargo."
"Dewey","Center Point","cemetery","35.827716, -99.156323","Leedy","N/A","N/A"
"Dewey","Fairview","cemetery","35.877457, -98.933625","Putnam","N/A","N/A"
"Dewey","Merck","cemetery","35.856155, -98.942701","Putnam","N/A","N/A"
"Dewey","Mt. Hope","cemetery","35.855651, -98.644182","Fay","N/A","N/A"
"Dewey","Raymond","cemetery","35.934812, -99.062768","Taloga","N/A","N/A"
"Dewey","Riverview","cemetery","35.942203,-99.230154","Camargo, OK","N/A","Small country cemetery."
"Dewey","Taloga","cemetery","36.014179,-98.965243","Taloga, OK","South of Taloga","Taloga area cemetery."
"Dewey","Trail","cemetery","35.957447, -99.29259","Leedy","N/A","N/A"
"Dewey","Unknown","cemetery","35.870919, -99.314412","Leedy","N/A","N/A"
"Garfield","Enid Cemetery Association","cemetery","36.420844,-97.880459","Enid, OK","212 W. Willow Rd.","Enid community cemetery"
"Garvin","Bethlehem","cemetery","34.719968,-97.210257","Pauls Valley, OK","N/A","Pauls Valley area cemetery."
"Garvin","Corley","cemetery","34.723472,-96.967074","Stratford, OK","N/A","Small country cemetery."
"Garvin","Hopewell","cemetery","34.706633,-97.161205","Wynnewood, OK","N/A","Small country cemetery."
"Garvin","Mt. Olivet","cemetery","34.713301,-97.209442","Pauls Valley, OK","N/A","Pauls Valley area cemetery."
"Garvin","Oaklawn","cemetery","34.635478,-97.156999","Wynnewood, OK","N/A","Wynnewood area cemetery"
"Garvin","Stratford","cemetery","34.822226,-96.955699","Stratford, OK","N/A","Startford area cemetery."
"Garvin","Whitebead","cemetery","34.770006,-97.290723","Pauls Valley, OK","N/A","Old cemetery for a community once known as White Bead."
"Grady","Amber","cemetery","35.159575,-97.900329","Amber, OK","Just west of Amber on Main St.","Amber community cemetery."
"Grady","Bailey","cemetery","34.715853N, 97.797981W","Marlow, OK","From Marlow,OK. go east on OK 29 for 8.8 miles, turn north on Bailey road and go 5 miles, at the &quot;T&quot; intersection turn east and go 1 mile, cemetery is on the south side of road.","This is a very old cemetery in southern Grady County. A post office was established in 1892."
"Grady","Duncan","cemetery","34.496017,-97.974629","Duncan, OK","N/A","Duncan community cemetery."
"Grady","Fairlawn","cemetery","34.389098,-97.963543","Comanche, OK","Old US Highway 81","Comanche area cemetery."
"Grady","Hale","cemetery","35.037293,-97.688631","Blanchard, OK","N/A","Small country cemetery."
"Grady","Henderson-Harris","cemetery","34.471821,-97.946084","Duncan, OK","S. 2nd Street between Cherokee Rd. and Martin Luther King Blvd.","Small cemetery on the south side of Duncan"
"Grady","Naples","cemetery","35.024288,-97.723262","Blanchard, OK","N/A","Small country cemetery."
"Grady","Rose Hill","cemetery","35.03208,-97.946384","Chickasha, OK","N/A","Chickasha community cemetery."
"Grady","Tuttle","cemetery","35.279024,-97.793469","Tuttle, OK","On E. Rock Creek Rd. SE of Tuttle.","Tuttle area cemetery."
"Greer","Ladessa","cemetery","34.796877, -99.562787","Mangum","N/A","N/A"
"Greer","Riverside","cemetery","34.863051, -99.506782","Mangum","N/A","N/A"
"Greer","Roselawn","cemetery","34.900826, -99.51279","Mangum","N/A","N/A"
"Harmon","Fairmount","cemetery","34.670917, -99.929005","Hollis","N/A","N/A"
"Harmon","Gould","cemetery","34.680834, -99.770647","Gould","N/A","N/A"
"Harmon","Halsmith","cemetery","34.608878, -99.96429","Hollis","N/A","N/A"
"Harmon","McKnight","cemetery","34.759519, -99.911805","Hollis","N/A","N/A"
"Harmon","Unknown","cemetery","34.682428, -99.982014","Hollis","N/A","N/A"
"Jackson","Altus","cemetery","34.649672, -99.301479","Altus","N/A","N/A"
"Jackson","Cottonwood","cemetery","34.637945, -99.62113","Duke","N/A","N/A"
"Jackson","Duke","cemetery","34.651767, -99.553882","Duke","N/A","N/A"
"Jackson","Eldorado","cemetery","34.45923, -99.656836","Eldorado","N/A","N/A"
"Jackson","Elmer","cemetery","34.507488, -99.368464","Elmer","N/A","N/A"
"Jackson","Frazier","cemetery","34.630318, -99.369453","Altus","N/A","N/A"
"Jackson","Headrick","cemetery","34.65205, -99.123269","Headrick","N/A","N/A"
"Jackson","Hess","cemetery","34.474406, -99.278278","Elmer","N/A","N/A"
"Jackson","Hester","cemetery","34.817244, -99.379066","Blair","N/A","N/A"
"Jackson","Martha","cemetery","34.71871, -99.378616","Martha","N/A","N/A"
"Jackson","Navajoe","cemetery","34.695673, -99.168438","Headrick","N/A","N/A"
"Jackson","Odema","cemetery","34.448773, -99.568666","Eldorado","N/A","N/A"
"Jackson","Olustee","cemetery","34.522086, -99.406039","Olustee","N/A","N/A"
"Kingfisher","Calvary","cemetery","36.122634,-97.908919","Hennessey, OK","NW of town on Cemetery Rd.","Hennessey area cemetery."
