"County","Title","Category","GPS","Directions","Text"
"Adair","Mayes","Barren","N/A","4 miles south, 2 1/2 miles west of Stilwell","The town ceased to exist after Stilwell was developed"
"Adair","Piney","Barren","35.884574, -94.541608","5 miles north, 5 miles east of Stilwell; 7 miles south, 1 mile east of Westville","N/A"
"Adair","Titantic","Barren","35.900870, -94.772033","N/A","Post Office existed from Jan. 3, 1916 to Dec. 31, 1929"
"Adair","Wauhillau","Unknown","35.856159, -94.773631","N/A","Post office existed from Feb. 13, 1879 to Mar. 15, 1935"
"Adair","Zion","Semi-Abandoned","35.782565, -94.634937","N/A","While there is still a population of 48 according to the 2000 census, the post office has not existed for over 100 years.  Post office was from July 20, 1891 to May 31, 1906."
"Alfalfa","Ingersoll","Unknown","36.796419, -98.394796","N/A","The post office was established September 13, 1901, and discontinued December 31, 1942. The Ingersoll Tile Elevator is on the National Register of Historic Places."
"Alfalfa","Lambert","Semi-Abandoned","36.683110, -98.423137","N/A","Named for Ambrose Lambert who owned the original townsite, Lambert is contiguous to Yewed to its east. Lambert was a US Post Office from 1901 until 1952."
"Alfalfa","Yewed","Semi-Abandoned","N/A","4 miles south, 3 miles west of Cherokee","Post office: Dec. 24, 1898 - April 30, 1952  Shortly after the victory of Admiral Dewey at Manilla Bay in 1898, an application for a rural post office was originally made it was under the name Dewey.  Because there was already a Dewey, the name was reversed to Yedew.  Probably no more than 50 people ever lived in the town at one time.  Most of the activities revolved around the grain elevator and mill.  A few small stores and churches have existed, but no school was ever built."
"Atoka","Boggy Depot","Barren","34.316635, -96.307244","N/A","An important town in the Choctaw Nation, Indian Territory, Boggy Depot (sometimes called Old Boggy Depot) was situated between the Clear Boggy and Sandy creeks, fourteen miles southwest of present Atoka in Atoka County. Founded by Chickasaw Indians in 1837, it stood along the Texas Road and a trail that led from Fort Smith, Arkansas, to Fort Washita and was a station on the Butterfield Overland Mail route. Boggy Depot's post office opened in 1849, and the local newspaper was the Choctaw and Chickasaw Observer.  Boggy Depot was the location of the first Chickasaw agency in the West and served as the capital of the Choctaw Nation from 1858 to 1860. During the Civil War it housed the principal Confederate supply depot in Indian Territory. After the war a flour mill and a cotton gin operated northeast of town, and a salt works was established along nearby Salt Creek.  The Missouri, Kansas and Texas Railway bypassed Boggy Depot in 1872, prompting businessmen and residents to relocate to Atoka. Others moved two miles south and founded New Boggy Depot (present Boggy Depot). Nothing remains of Old Boggy Depot except its cemetery, where Choctaw chief Allen Wright and Rev. Cyrus Kingsbury are buried. The townsite, presently located in Boggy Depot State Park, is listed in the National Register of Historic Places (NR 72001050).  Source: Encyclopedia of Oklahoma History & Culture"
"Atoka","Bruno","Unknown","N/A","N/A","N/A"
"Atoka","Chockie","Barren","34.582083, -95.998221","N/A","The Chockie post office closed in 1937. The community was named for Chickie and Chockie LeFlore, daughters of Charles LeFlore, a prominent Choctaw Indians."
"Atoka","Daisy","Unknown","34.535845, -95.740083","N/A","Daisy is a small unincorporated community in Atoka County, Oklahoma, United States, along State Highway 43. Located in the northeastern part of the county, Daisy was once a thriving community with a general store, school and other institutions. The post office was opened April 5, 1906. It is said to have been named for Daisy Beck, a local girl.  The most famous person from Daisy is Clarence Carnes, who had eighteen was the youngest inmate ever sent to Alcatraz. He is buried on the Indian land not far from Daisy."
"Atoka","Harmony","Unknown","N/A","N/A","N/A"
"Atoka","Limestone Gap","Barren","34.599209, -95.973216","N/A","N/A"
"Atoka","Lone Pine","Unknown","N/A","N/A","N/A"
"Atoka","Mt. Olive","Unknown","N/A","N/A","N/A"
"Atoka","Negro Bend","Barren","34.326094, -95.935386","N/A","Like many of the segregated settlements established before 1900, not much written history exists on them.  This is one of those cases.  Evidence of this establishment exist on maps prior to 1880."
"Atoka","Reddon","Barren","N/A","N/A","Redden was a small town located in northeastern Atoka County, Oklahoma, United States, on State Highway 43, about 13 miles northeast of Stringtown.  The Postal Service established a post office on June 1, 1903, in what was then Atoka County, Choctaw Nation, Indian Territory. It was named for John A. Redden (1873), a local resident who was appointed the first postmaster. The Statehood Proclamation was signed November 16, 1907. The post office at Redden, Oklahoma, was closed permanently on October 31, 1954.Much like Daisy, Redden was once a firmly established, thriving community. However, Redden is now little more than a small dot on the map. All that remains of the old town is the Redden Cemetery, fenced and well kept, and the ruins of the schoolhouse standing on the side of the road."
"Atoka","Wards Chapel","Barren","34.366398, -96176849","N/A","N/A"
"Atoka","Wardville","Semi-Abandoned","34.653887, -96.030276","N/A","Wardville is a small unincorporated community in northern Atoka County, Oklahoma, United States, along State Highway 131 14 miles northeast of Coalgate, Oklahoma. The post office was established February 6, 1902 under the name Herbert, Oklahoma. The town was named after Herbert Ward, who was the youngest son of the towns first postmaster, Henry Pleasant Ward.  The name of the town was changed to Wardville on July 18, 1907. Wardville was named for the before mentioned Henry Pleasant Ward, who served in the territorial House of Representatives and Senate and was an Atoka County judge. The Wardville Post Office opened Feb. 6, 1902 and closed Dec. 19, 2009."
"Atoka","Wesley","Unknown","N/A","N/A","N/A"
"Beaver","Benton","Barren","36.779067, -100.218019","3 miles South & 18 miles East of Beaver","Founded in the early 1880s, had become an important cultural center near the eastern edge of the Panhandle by 1886.  The town had a large general store, drugstore, hotel and livery stable, two saloons, and a blacksmith shop.  Although there was no official officer of the law, there was an active vigilante committee.  A school house was built of sod and regular terms of subscription school were held.  Church meetings were also held in the school house.  In 1888 the Benton County Banner, a weekly paper, started publication.  Many of the homes in Benton were built of sod from nearby prairie.  Most homes had wood floors and window sills.  Before the Panhandle became part of Oklahoma Territory in 1890, it leaders organized Cimarron Territory, designated Beaver City the capital, and wrote a constitution in which the Public Land Strip was divided into seven counties.  The easternmost county was Benton, and the town of Benton was named the county seat.  The area was eventually abandoned and allowed to revert back into pasture land."
"Beaver","Elmwood","Unknown","36.616229, -100.522936","N/A","Elmwood is a small unincorporated community located at the junction of US Highway 270 and US Highway 412 in Beaver County, Oklahoma, United States. The Post Office was opened January 26, 1888. Closed May 31, 1986."
"Beaver","Knowles","Semi-Abandoned","36.873299, -100.193481","N/A","Knowles is a town in Beaver County, Oklahoma, United States. The population was 32 at the 2000 census.  Post Office closed Jan. 3, 2004"
"Beaver","Logan","Barren","36.572631, -100.217179","N/A","Post office closed June 8, 1996."
"Beaver","Mocane","Barren","36.893689, -100.373055","N/A","Not known at this time.  A sign marking it's presence is all the remains on site."
"Beaver","Slapout","Semi-Abandoned","36.61601, -100.10875","N/A","N/A"
"Beaver","Sod Town","Unknown","N/A","N/A","N/A"
"Beckham","Delhi","Unknown","35.174966, -99.67712","N/A","N/A"
"Beckham","Hext","Barren","35.24825, -99.75281","N/A","N/A"
"Beckham","Mayfield","Unknown","35.33890, -99.87649","N/A","N/A"
"Beckham","New Liberty","Unknown","35.36380, -99.71741","N/A","N/A"
"Beckham","Texola","Semi-Abandoned","35.219222,  -99.991243","Take exit 1 off of I-40 and go south.","Post office closed in 2009.  Today not much of the town is left.  There are still a few residents and some abandoned buildings."
"Blaine","Bickford","Barren","N/A","6 1/2 miles north of Watonga","Post Office: Nov. 2, 1904 - Nov. 30, 1927  Railroad: Enid and Anadarko Railway (Rock Island), abandoned 1926  Bickford was a company-built, company-owned town located in Roman Nose Canyon.  The canyon walls are topped by thick layers of gypsum suitable for the making of all kinds of plaster, wallboard, and cement blocks.  There the Roman Nose Gypsum Company built a large mill, a commissary, several homes, a hotel for single employees, pipelines for water, and other items needed by the inhabitants.  A rairoad line was extended to the village.  In the 1920s the mill was closed for economic reasons and soon thereafter the town was deserted.  The area is now known as Roman Nose State Park."
"Blaine","Eagle City","Semi-Abandoned","35.933084,-98.586812","6 1/2 miles north, 10 miles west of Watonga","Post Office: Dillon, July 26, 1902 - September 4, 1909; Eagle City September 4, 1909 - ?  There was trouble with the post office.  The first one was named Dillon.  Eagle City was not acceptable as a name because of its similarity to Eagletown.  Eventually the name was changed.  Today very little remains of Eagle City.  Mostly just a few homes.  Much of the old abandoned retail district was lost to wild fires a few years ago."
"Bryan","Academy","Unknown","N/A","N/A","N/A"
"Caddo","Albert","Semi-Abandoned","35.233073,-98.412074","N/A","N/A"
"Caddo","Bridgeport","Semi-Abandoned","35.546123,-98.384499","N/A","Town was once an important ferry route from east to west.  A water feud between residents on the east and west side of the town was the beginning to the end for the town.  Later when Rt. 66 bypassed the town a mile to the south, it pretty much spelled the end for the town.  Today very little remains.  Only a few homes and a church."
"Canadian","Frisco","Unknown","N/A","N/A","N/A"
"Canadian","Reno City","Unknown","N/A","N/A","N/A"
"Carter","Gene Autry","Semi-Abandoned","34.281858, -97.036927","7 miles north, 5 miles east of Ardmore","Gene Autry is an old village with a relatively new name.  It has had several names through the years.  It was first known as Lou and had a post office from July 1883 to November 1883.  It was then known as Dresden and its post office was from November 1883 to September 1887.  Later when the Gulf, Colorado and Santa Fe rail road through the area about one mile from the area the town relocated the post office next to the tracks and was renamed Berwyn.  That post office operated from September 1887 to January 1942.  In January 1942 the name of the post office was changed for the last time to Gene Autry.  The town had changed its name November 4, 1941 to Gene Autry.  The town pretty much died after the inactivation of the Ardmore air base."
"Carter","Pooleville","Unknown","34.419444, -97.399722","N/A","Pooleville is a rural community located in Carter County, Oklahoma, west of the Arbuckles. The post office opened July 20, 1907. The ZIP Code is 73401. It was named for an Ardmore banker, E.S. Poole.  In 1907, when Oklahoma became a state, it was decided that Elk should be renamed because the mail kept getting mixed up with Elk City, and so a town meeting was called. Three possible names were chosen and sent to Washington, DC: JJ Eaves, a prominent rancher, LO Majors, the owner of the General Store, and Elzy R Poole, a pioneer rancher. After a time, Washington DC notified them that Elk, Oklahoma would now be called Pooleville. E.S. Poole was actually Edward Poole and was the son of Elzy R. Poole, in 1907 he was only 19 years old and so it is doubtful that he would be a prominent banker at that time.  During the territorial days, Pooleville was known as Elk. The Elk post office, established in District 21 of the old Indian Territory, existed from January 15, 1890, until July 20, 1907. On June 8, 1894, a sheriff's posse from Anadarko caught and killed William M. Dalton (a brother of the Daltons and member of the Doolin-Dalton Gang) near here."
"Carter","Wirt","Unknown","N/A","N/A","N/A"
"Carter","Woodford","Unknown","N/A","N/A","N/A"
"Cherokee","Park Hill","Unknown","N/A","N/A","N/A"
"Choctaw","Doaksville","Unknown","N/A","N/A","N/A"
"Cimarron","Burton","Unknown","36.798619, -102.161579","N/A","N/A"
"Cimarron","Griggs","Unknown","36.602792, -102.122055","N/A","N/A"
"Cimarron","Hopkins","Barren","36.799512, -102.086048","N/A","N/A"
"Cimarron","Kenton","Semi-Abandoned","36.90317, -102.96337","On highway 325 near near Oklahoma / New Mexico border","Until the county seat election of June 11, 1908, Kenton, which had previously been named the temporary county seat, held the county records. Boise City won a runoff election over Doby to capture the designation. A Boise City contingent soon confiscated the county seat papers, prior to the end of the mandatory thirty-day waiting period, creating a controversy and a local legend that Boise City stole the courthouse."
"Cimarron","Mexhoma","Barren","36.719476, -102.984499","N/A","N/A"
"Cimarron","Mineral","Unknown","N/A","N/A","N/A"
"Cimarron","Sturgis Siding","Unknown","36.892899, -102.072548","N/A","N/A"
"Cimarron","Wheeless","Barren","36.719211, -102.894261","N/A","The post office was established February 12, 1907, and discontinued September 27, 1963. Nearby are the ruins of Camp Nichols, a military encampment on the Santa Fe Trail, which is listed on the National Register of Historic Places."
"Cleveland","Corbett","Barren","34.974053,-97.229962","N/A","N/A"
"Coal","Clarita","Semi-Abandoned","N/A","N/A","N/A"
"Coal","Lehigh","Unknown","N/A","N/A","N/A"
"Comanche","Meers","Semi-Abandoned","34.782778, -98.578889","N/A","Founded as a gold mining town in 1901, it was named for mine operator Andrew J. Meers. The only remaining structure of the original town is the Meers Store & Restaurant, which Food Network named as the best hamburger joint in Oklahoma & one of the best in the United States of America, largely due to its signature MeersBurger. The Meers Store also served as the area post office from March 12, 1902, until February, 1989."
"Comanche","Old Agency Village","Unknown","N/A","N/A","N/A"
"Cotton","Devol","Unknown","34.194284, -98.589978","N/A","N/A"
"Craig","Centralia","Abandoned","36.7967499, -95.3533051","N/A","The post office opened April 1, 1899. Closed May 26, 1990.  Centralia use to be a busy cattle town and was a gathering place for the cattlemen to buy goods at the general store. The town stayed busy until the railroad came to the area and passed it by and went to nearby Vinita."
"Creek","Shamrock","Semi-Abandoned","35.910294, -96.583972","N/A","N/A"
"Creek","Slick","Semi-Abandoned","35.776918, -96.266057","N/A","N/A"
"Custer","Claude","Barren","N/A","N/A","N/A"
"Custer","Cora","Barren","N/A","N/A","N/A"
"Custer","Edwardsville","Barren","35.557857, -99.181242","N/A","This town was lost to the construction of the dam for Foss Lake.  The cemetery was moved to Canute."
"Custer","Fransen","Barren","35.479825, -98.976710","Go south on US 183 in Clinton to Commerce Rd. and turn left (west).  As soon as you get to the rail road tracks look to the north and you will see the rail road sign.","Listed on the 1900 list of unincorporated towns in Custer County.  Found the sign marking Fransen on rail lines in the south part of what is now Clinton.  Fransen was a small farming community named after a local family that never grew into much and was eventually absorbed by the town of Clinton."
"Custer","Graves","Barren","N/A","N/A","N/A"
"Custer","Independence","Barren","35.768932, -98.915855","Take Hwy 47 East 3 miles from US 183, turn North on County Rd. N2290 and go 1 mile.  Marker is on NE corner.","Only remains are a monument dedicated to the school.  Independence was a government town built in 1892. In the first 2 months it had three robberies. Had a population of nearly 300 in 1900 but by 1902 was fast becoming a ghost town. It died completely when bypassed by the railroad.  After its citizens moved to Custer City in 1902, Independence became a ghost town.  It was one of two communities established on the Cheyenne and Arapaho  reservations before those reservations were opened to settlement in 1892. Independence had a post office from October 5, 1892, to July 15, 1922. At its peak, the community was served by two newspapers, the Independence Herald and Independence Courier."
"Custer","Indianapolis","Barren","35.551588,-98.862552","Take Exit 71 off of I-40 and go north on Custer City Rd for three miles.  At the point where the road bends, Indianapolis is directly to the east.","I have found very little information about this town.  By best estimates this was a town that lived and died by the rail road.  With the larger commercial areas of Clinton and Weatherford there was little hope for this small community.  Today nothing of the old town remains.  There are about three homes in the area now.  One area is heavily overgrown with trees and you can see the remains of a few abandoned homes there.  Also still visible is the remain of the foundation to what looks like it would have been a church.  The corner stone of the building has been removed, but judging from the use of materials, it was probably built sometime before 1930."
"Custer","Parkersburg","Barren","35.494260,-99.021835","N/A","In 1903 Clinton developed after the Blackwell, Enid and Southwestern Railroad (later the St. Louis and San Francisco Railway) and the Kansas City, Mexico and Orient Railway (later the Atchison, Topeka and Santa Fe Railway) built lines through the town. Clinton grew rapidly when one hundred buildings were moved from Parkersburg, a community located three miles east of Clinton. The Parkersburg railroad depot was moved to Canute, and Parkersburg became a ghost town in 1906.  Today nothing remains of Parkersburg except for the old cemetery which can be seen on the south side of Interstate 40 next to the Parkersburg exit."
"Custer","Rathbone","Barren","35.521367, -99.117051","N/A","Nothing remains.  Town is now all on private land.  No access to area."
"Custer","Rogers","Barren","N/A","N/A","N/A"
"Custer","Samsville","Barren","N/A","N/A","N/A"
"Custer","Stafford","Semi-Abandoned","35.536312,-99.122449","Take Hwy 73 west from Clinton about 8 miles, turn north and go two miles, then turn left.  You will see what remains of Stafford.","Had post office from 1909 till about 1955. Most population ever was is around 100. It had a school at one time with 300 students. In mid 40's it had 2 cotton gins, wheat elevator, two small stores until mid to late fifties. School closed in 1962.  Today only a few homes remain in the area and a church.  The cemetery is to the east of town about 1/2 mile."
"Custer","Taylor","Barren","N/A","N/A","N/A"
"Delaware","Bernice","Unknown","N/A","N/A","N/A"
"Delaware","Cayuga","Unknown","N/A","N/A","N/A"
"Dewey","Aledo","Barren","35.827354, -99.123942","N/A","N/A"
"Dewey","Cestos","Unknown","N/A","N/A","N/A"
"Dewey","Fay","Semi-Abandoned","35.813523,-98.658041","N/A","N/A"
"Dewey","Lenora","Barren","36.043401, -99.062051","N/A","Small community a few miles west of Taloga.  All that remains today are a few homes in the area, but nothing of the commercial district remains.  One of Lenora's notable residents was John &quot;Joe&quot; Ventioner, a US Deputy Marshall, known for ending the life of outlaw &quot;Red Buck&quot; Weightman."
"Dewey","Nobscot","Barren","35.848599, -98.735654","N/A","N/A"
"Dewey","Raymond","Barren","35.934788, -99.062009","N/A","Only remains are the cemetery."
"Ellis","Catesby","Barren","36.355146,-99.883322","N/A","N/A"
"Ellis","Goodwin","Barren","36.190791,-99.935467","N/A","N/A"
"Ellis","Grand","Barren","35.982709, -99.795422","Approximately 4 miles northwest of Grand historical marker on US 283.","On Nov. 13 1892, Grand was established as county seat of Day County, Oklahoma Ter. This was County 'E' when organizers at the opening of Cheyenne and Arapaho lands April 19, 1892 Day County and county seat were abolished at statehood in 1907.  Many citizens of Grand became noted as leaders in the new state of Oklahoma."
"Ellis","Harmon","Barren","36.144652, -99.560475","N/A","Only a few homes remain."
"Ellis","Ioland","Barren","35.967712, -99.520488","N/A","Was at one time the county seat for Day County prior to statehood.  The county seat was later moved to Grand.  After statehood Day County was reorganized and the name changed to Ellis.  Today nothing remains of Ioland."
"Ellis","Touzalin","Barren","36.33349,-99.977177","N/A","N/A"
"Garfield","Douglas","Semi-Abandoned","36.260004, -97.667637","N/A","N/A"
"Garfield","Hillsdale","Unknown","36.562513, -97.992601","N/A","N/A"
"Garvin","Cherokee Town","Unknown","N/A","N/A","N/A"
"Garvin","White Bead","Unknown","N/A","N/A","N/A"
"Grady","Acme","Unknown","N/A","N/A","N/A"
"Grady","Agawam","Unknown","N/A","N/A","N/A"
"Grady","Bailey","Abandoned","34.715853,-97.797981","From Marlow,OK. go east on OK 29 for 8.8 miles, turn north on Bailey road and go 5 miles, at the &quot;T&quot; intersection turn east and go 1 mile, cemetery is on the south side of road.","A post office was established June 25, 1892. Closed Sep. 30, 1932"
"Grady","Cox City","Unknown","N/A","N/A","N/A"
"Grady","Fred","Abandoned","34.99168N, 97.89959W","US 81 south Chickasha, OK, turn left at stoplight on to OK 19, go 2 miles east to Quail Rd, turn right historical marker is on Left side of road, go .01 mile marker and pavilion are on the right.","Trading post established by Col. Frank Fred in 1870s. Crossroads of Chisholm Trail and The Fort Cobb Stage Road. Post Office Established in 1889. Methodist Church Established in 1889"
"Grady","Indiahoma","Unknown","N/A","N/A","N/A"
"Grady","Parr","Unknown","N/A","N/A","N/A"
"Grady","Silver City","Unknown","N/A","N/A","N/A"
"Grant","Jefferson","Semi-Abandoned","36.720665, -97.791168","N/A","The population at the 2000 census was 37."
"Greer","Brinkman","Unknown","N/A","N/A","N/A"
"Greer","Hester","Unknown","N/A","N/A","N/A"
"Greer","Lake Creek","Unknown","35.029831N, 99.413231W","N/A","N/A"
"Greer","Reed","Unknown","34.900580, -99.695648","N/A","Post Office Sep. 16, 1892 to June 4, 1988"
"Greer","Russell","Unknown","N/A","N/A","N/A"
"Greer","Willow","Semi-Abandoned","35.051497, -99.509606","N/A","Post office opened Oct. 17, 1899."
"Harmon","Arnett","Barren","N/A","N/A","Not to be confused with the Arnett that is in Ellis County.  This Arnett was part of Old Greer County and is located northwest of Hollis."
"Harmon","McKnight","Unknown","N/A","N/A","N/A"
"Harmon","Ron","Barren","34.792617, -99.859769","N/A","N/A"
"Harmon","Shrewder","Unknown","N/A","N/A","N/A"
"Harmon","Vinson","Semi-Abandoned","34.900562, -99.859437","N/A","N/A"
"Harper","Charleston","Barren","36.841689,-99.438937","Sec 10 TWP 27 N. R. 21 W","The first post office was established June 18, 1901. It was named after Charels J. Eilerts on who’s homestead it was located and who was the first postmaster and merchant in the area. Some of its buildings were moved to the nearby communities of Buffalo and Selman; others remain."
"Harper","Doby Springs","Barren","36.838146, -99.781900","N/A","N/A"
"Harper","Rosston","Semi-Abandoned","36.813360, -99.934033","N/A","Post office closed Aug. 15, 2009"
"Harper","Selman","Semi-Abandoned","36.801959, -99.490936","N/A","N/A"
"Haskell","Sans Bois","Unknown","N/A","N/A","N/A"
"Haskell","Tamaha","Unknown","N/A","N/A","Post office Apr. 17, 1884 to Apr. 15, 1954"
"Hughes","Non","Unknown","N/A","N/A","Post Office Oct. 22, 1901 to Oct. 31, 1954"
"Jackson","Aaron","Barren","34.593690, -99.474031","3 miles west and 3 miles north of Olustee; 8 miles west of Altus and 3 miles south.","Nothing remains of the community, but the school can still be seen."
"Jackson","Creta","Unknown","N/A","N/A","N/A"
"Jackson","Elmer","Semi-Abandoned","34.479963, -99.352749","N/A","Small town about 11 miles south of Altus.  The population at the 2000 census was 94."
"Jackson","Frazer","Unknown","N/A","N/A","N/A"
"Jackson","Hess","Barren","34.464538,-99.27225","N/A","N/A"
"Jackson","Navajoe","Unknown","N/A","N/A","N/A"
"Jackson","Yeldell","Unknown","N/A","N/A","N/A"
"Jefferson","Addington","Unknown","N/A","N/A","N/A"
"Jefferson","Cornish","Unknown","N/A","N/A","N/A"
"Jefferson","Fleetwood","Unknown","N/A","N/A","N/A"
"Jefferson","Sugden","Unknown","N/A","N/A","N/A"
"Johnston","Bromide","Semi-Abandoned","34.418426, -96.496943","N/A","Located in northeastern Johnston County on the Johnston-Coal county line, Bromide is situated along State Highway 7D, twenty-one miles northeast of Tishomingo and 123 miles southeast of Oklahoma City. Named for nearby mineral springs, Bromide was founded by Judge William H. Jackson, a former superintendent of the Wapanucka Academy, a Chickasaw boarding school. He recognized the springs' potential to become a tourist attraction and organized the Jackson Land Company that established the townsite. The community was called Juanita (1905-1906) and Zenobia (1906-1907) before it became Bromide in 1907 and incorporated in July 1908.  Bromide's first large business was a limestone quarry east of town. The enterprise belonged to Tulsa oilman Robert Galbreath, who used native stone to build a three-story hotel at Bromide in 1912. The hotel later housed the Bromide State Bank. A rock crusher operated northwest of the community. Stone became a principal export when a spur of the Missouri, Oklahoma and Gulf Railway (MO&G) reached Bromide in 1911. The MO&G (acquired by the Kansas, Oklahoma and Gulf Railway, KO&G) had been built three miles east of town in 1910.  The MO&G ran weekly excursion trains to Bromide, promoted as &quot;the best health resort in the southwestern states.&quot; Four hotels, including the Galbreath, a bathhouse, and a swimming pool served visitors to the town's sulphur and bromide springs. Agriculture, especially cotton, was also important to the economy. Other businesses included a cotton gin, a gristmill, a lumber mill, a flour mill, and the Bromide Herald newspaper.  Bromide's popularity as a travel destination declined during the 1920s. By the start of the Great Depression the excursion trains had stopped running and the bank and hotels had closed. The KO&G line was abandoned in 1950 and only a grocery store operated there circa 1975. The population of Bromide peaked at 523 in 1920. That figure dropped from 352 in 1930 to 258 in 1950. After climbing to 264 in 1960, the number of residents fell to 180 in 1980.  Bromide had 163 citizens in 2000. During the early twenty-first century the community had a Baptist church, a construction business, and a post office. The nearby Wapanucka Academy site (NR72001065) is listed in the National Register of Historic Places.  Source:   Encyclopedia of Oklahoma History and Culture"
"Kay","Autwine","Unknown","N/A","N/A","N/A"
"Kay","Cross","Unknown","N/A","N/A","N/A"
"Kay","Eddy","Barren","N/A","N/A","Eddy met its demise after being devastated by several tornadoes and numerous fires."
"Kay","Kaw City","Unknown","N/A","N/A","N/A"
"Kingfisher","Downs","Unknown","N/A","N/A","N/A"
"Kiowa","Cambridge","Barren","35.073118, -99.205695","N/A","Only remains are some grain silos at the rail-road crossing."
"Kiowa","Cold Springs","Barren","34.799494,-98.998609","N/A","N/A"
"Kiowa","Cooperton","Semi-Abandoned","34.866501,-98.868342","N/A","Not much is left of the town.  Most of it stands abandoned and many of the buildings are falling in on themselves.  There isn't more than about ten families still living in the town."
"Kiowa","Gotebo","Semi-Abandoned","35.070663,-98.872245","N/A","The downtown area is pretty much completely abandoned.  The only usable building was the City Hall that is housed in an old bank.  All the other downtown buildings are so dilapidated that they unusable.  Several have been burned out and other have trees growing up through the foundations."
"Kiowa","Lugert","Barren","34.89340,-99.29600","The town of Lugert was located 1 1/4 miles southeast of the Lugert historical marker on the shore of Lake Altus-Lugert.","Austrian Immigrant, Frank Lugert founded the town of Lugert when the Kiowa~Comanche~Apache Reservation opened for settlement in 1901. Mr. Lugert ran the Post Office, train depot, and the general store. The town with a peak population of over 400, thrived until 1912 when a tornado destroyed a significant number of homes and business. The town continued to exist until 1941 when the W.C. Austin Dam was completed for the Lugert~Altus Irrigation District and water soon covered the townsite."
"Kiowa","Roosevelt","Semi-Abandoned","34.848579,-99.021895","N/A","N/A"
